membership_id,person_id,role_id,party_id,coalition_id,contest_id,goes_for_coalition,membership_type,goes_for_reelection,start_date,end_date,is_substitute,parent_membership_id,changed_from_substitute,date_changed_from_substitute
103,103,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
104,104,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
105,105,1,7,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
106,106,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
107,107,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
108,108,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
109,109,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
110,110,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
111,111,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
112,112,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
113,113,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
114,114,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
115,115,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
116,116,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
117,117,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
118,118,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
119,119,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
120,120,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
121,121,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
122,122,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
123,123,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
124,124,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
125,125,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
126,126,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
127,127,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
128,128,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
129,129,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
130,130,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
131,131,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
132,132,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
133,133,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
134,134,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
135,135,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
136,136,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
137,137,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
138,138,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
139,139,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
140,140,1,9,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
141,141,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
142,142,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
143,143,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
144,144,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
145,145,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
146,146,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
147,147,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
148,148,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
149,149,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
150,150,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
151,151,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
152,152,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
153,153,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
154,154,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
155,155,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
156,156,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
157,157,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
158,158,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
159,159,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
160,160,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
