area_id,ocd_id,name,country,state,city,district_type,parent_area_id
46,ocd-division/country:mx/state:co/fed:6,Diputación del Distrito Federal 6 de COAHUILA DE ZARAGOZA,MX,COA,"MATAMOROS, TORREON, VIESCA",2,-1,
47,ocd-division/country:mx/state:co/fed:7,Diputación del Distrito Federal 7 de COAHUILA DE ZARAGOZA,MX,COA,"GENERAL CEPEDA, PARRAS, SALTILLO",2,-1,
48,ocd-division/country:mx/state:cs,Gubernatura de CHIAPAS,MX,CHP,,1,-1,
49,ocd-division/country:mx/state:cs/city:102,Presidencia del municipio de TUXTLA GUTIÉRREZ,MX,CHP,TUXTLA GUTIÉRREZ,3,-1,
50,ocd-division/country:mx/state:cs/fed:1,Diputación del Distrito Federal 1 de CHIAPAS,MX,CHP,"SABANILLA, SALTO DE AGUA, TILA, TUMBALA, YAJALON, CATAZAJA, LA LIBERTAD, PALENQUE",2,-1,
51,ocd-division/country:mx/state:cs/fed:10,Diputación del Distrito Federal 10 de CHIAPAS,MX,CHP,"JIQUIPILAS, VILLA CORZO, VILLAFLORES, MONTECRISTO DE GUERRERO, EL PARRAL, ANGEL ALBINO CORZO, CINTALAPA, LA CONCORDIA",2,-1,
52,ocd-division/country:mx/state:cs/fed:11,Diputación del Distrito Federal 11 de CHIAPAS,MX,CHP,"ALTAMIRANO, AMATENANGO DEL VALLE, CHANAL, HUIXTAN, LA INDEPENDENCIA, LAS MARGARITAS, OXCHUC, SAN CRISTOBAL DE LAS CASAS, TEOPISCA, MARAVILLA TENEJAPA",2,-1,
53,ocd-division/country:mx/state:cs/fed:12,Diputación del Distrito Federal 12 de CHIAPAS,MX,CHP,"CACAHOATAN, FRONTERA HIDALGO, METAPA, SUCHIATE, TAPACHULA, TUXTLA CHICO, UNION JUAREZ",2,-1,
54,ocd-division/country:mx/state:cs/fed:13,Diputación del Distrito Federal 13 de CHIAPAS,MX,CHP,"AMATENANGO DE LA FRONTERA, BEJUCAL DE OCAMPO, BELLA VISTA, CHICOMUSELO, LA GRANDEZA, HUEHUETAN, MAZAPA DE MADERO, MAZATAN, MOTOZINTLA, EL PORVENIR, SILTEPEC, TAPACHULA, TUZANTAN, CAPITAN LUIS ANGEL VIDAL, HONDURAS DE LA SIERRA",2,-1,
55,ocd-division/country:mx/state:cs/fed:2,Diputación del Distrito Federal 2 de CHIAPAS,MX,CHP,"AMATAN, BOCHIL, EL BOSQUE, CHALCHIHUITAN, CHENALHO, HUITIUPAN, IXHUATAN, IXTAPA, JITOTOL, LARRAINZAR, MITONTIC, PANTELHO, PUEBLO NUEVO SOLISTAHUACAN, SIMOJOVEL, SOYALO, ALDAMA, SAN ANDRES DURAZNAL, SANTIAGO EL PINAR, RINCON CHAMULA SAN PEDRO",2,-1,
56,ocd-division/country:mx/state:cs/fed:3,Diputación del Distrito Federal 3 de CHIAPAS,MX,CHP,"CHILON, OCOSINGO, SITALA, BENEMERITO DE LAS AMERICAS, MARQUES DE COMILLAS",2,-1,
