person_profession_id,person_id,profession_id
1168,594,43,
1169,595,12,
1170,595,30,
1171,595,31,
1172,596,43,
1173,596,30,
1174,597,43,
1175,599,43,
1176,600,43,
1177,600,74,
1178,601,74,
1179,602,43,
1180,602,12,
1181,602,10,
1182,603,41,
1183,604,50,
1184,605,50,
1185,605,43,
1186,606,43,
1187,609,75,
1188,610,43,
1189,611,50,
1190,611,116,
1191,612,43,
1192,612,114,
1193,614,41,
1194,614,43,
1195,615,104,
1196,615,46,
1197,616,104,
1198,617,83,
1199,617,10,
1200,618,115,
1201,620,40,
1202,621,43,
1203,621,50,
1204,622,67,
1205,622,8,
1206,622,43,
1207,623,50,
1208,623,40,
1209,624,43,
1210,624,39,
1211,625,18,
1212,625,115,
1213,626,43,
1214,626,10,
1215,627,41,
1216,627,43,
1217,628,115,
1218,628,43,
1219,629,114,
1220,629,43,
1221,630,43,
1222,631,33,
1223,632,41,
1224,633,104,
1225,634,50,
1226,634,43,
1227,635,116,
1228,637,115,
1229,638,50,
1230,639,74,
1231,640,50,
1232,641,35,
1233,641,31,
1234,642,41,
1235,643,43,
1236,643,31,
1237,643,10,
1238,645,50,
1239,645,10,
1240,645,43,
1241,645,31,
1242,646,43,
1243,646,41,
1244,646,64,
1245,647,22,
1246,647,43,
1247,647,33,
1248,648,43,
1251,650,43,
1252,650,31,
1253,651,41,
1254,651,10,
1255,652,31,
1256,652,41,
1257,653,43,
1258,654,50,
1259,654,43,
1260,655,43,
1261,655,33,
1262,656,50,
1263,656,43,
1264,657,31,
1265,658,41,
1266,659,50,
1267,659,43,
1268,661,43,
1269,661,33,
1272,663,31,
1273,663,43,
1274,664,33,
1275,664,31,
1276,665,73,
1277,665,43,
1278,665,31,
1279,666,43,
1280,666,31,
1281,667,2,
1282,667,33,
1283,668,31,
1284,668,43,
1285,669,43,
1286,669,33,
1287,670,113,
1288,670,43,
1289,671,32,
1290,671,10,
1291,671,31,
1292,671,35,
1293,673,118,
1294,673,41,
1295,673,43,
1296,674,81,
1297,674,16,
1298,674,43,
1299,675,74,
1300,675,43,
1301,675,31,
1302,676,50,
1303,676,31,
1304,676,35,
1305,676,43,
1306,676,10,
1307,677,50,
1308,677,41,
1309,677,39,
1310,677,43,
1311,677,31,
1312,678,41,
1313,678,29,
1314,678,16,
1315,678,33,
1316,678,31,
1317,679,115,
1318,679,41,
1319,679,31,
1320,679,43,
1321,679,33,
1322,680,43,
1323,680,31,
1324,681,50,
1325,681,43,
1326,681,41,
1327,681,31,
1328,682,39,
1329,682,43,
1330,682,31,
1331,683,41,
1332,683,40,
1333,683,31,
1334,683,43,
1335,683,33,
1336,684,40,
1337,684,41,
1338,684,115,
1339,684,37,
1340,684,43,
1341,685,50,
1342,685,31,
1343,685,33,
1344,685,43,
1345,686,61,
1346,686,67,
1347,686,43,
1348,686,41,
1349,686,31,
1350,687,31,
1351,687,43,
1352,687,104,
1353,688,16,
1354,689,50,
1355,690,105,
1356,690,18,
1357,691,50,
1358,691,41,
1359,692,74,
1360,692,50,
1361,693,45,
1362,693,31,
1363,693,50,
1364,694,50,
1365,694,51,
1366,694,114,
1367,694,31,
1368,695,40,
1369,695,3,
1370,695,31,
1371,695,43,
1372,696,41,
1373,696,33,
1374,697,104,
1375,697,35,
1376,697,43,
1377,697,33,
1378,698,50,
1379,698,10,
1380,698,33,
1381,698,43,
1382,698,31,
1383,699,67,
1384,699,41,
1385,699,33,
1386,699,43,
1387,700,75,
1388,700,41,
1389,700,31,
1390,700,43,
1391,700,50,
1392,701,12,
1393,701,114,
1394,701,43,
1395,701,33,
1396,702,35,
1397,702,113,
1398,702,33,
1399,703,50,
1400,703,10,
1401,703,31,
1402,704,40,
1403,704,41,
1404,704,12,
1405,704,39,
1406,704,31,
1407,705,33,
1408,705,59,
1409,705,70,
1410,705,45,
1411,705,31,
1412,706,50,
1413,706,9,
1414,706,31,
1415,707,43,
1416,707,41,
1417,707,33,
1418,707,25,
1419,708,111,
1420,709,38,
1421,709,107,
1422,709,43,
1423,709,41,
1424,709,33,
1425,710,16,
1426,710,26,
1427,710,33,
1428,710,31,
1429,710,43,
1430,711,41,
1431,711,39,
1432,712,38,
1433,713,41,
1434,713,44,
1435,713,43,
1436,715,41,
1437,715,10,
1438,716,43,
1439,718,50,
1440,718,10,
1441,719,6,
1442,720,50,
1443,720,41,
1444,720,113,
1445,720,33,
1446,721,50,
1447,721,46,
1448,722,29,
1449,722,10,
1450,722,33,
1451,723,104,
1452,723,43,
1453,723,23,
1454,723,18,
1455,724,41,
1456,725,80,
1457,725,42,
1458,725,43,
1459,725,31,
1460,726,40,
1461,726,41,
1462,726,115,
1463,726,31,
1464,727,52,
1465,727,108,
1466,727,109,
1467,727,43,
1468,727,31,
1469,728,79,
1470,728,53,
1471,728,43,
1472,728,31,
1473,729,31,
1474,729,35,
1475,729,46,
1476,729,43,
1477,729,33,
1478,730,43,
1479,731,50,
1480,731,43,
1481,732,41,
1482,732,48,
1483,733,43,
1484,733,31,
1485,734,74,
1486,734,43,
1487,734,31,
1488,735,50,
1489,735,31,
1490,735,79,
1491,736,50,
1492,736,31,
1493,737,40,
1494,737,41,
1495,738,31,
1496,738,50,
1497,739,114,
1498,740,31,
1499,740,4,
1500,741,29,
1501,742,41,
1502,742,105,
1503,743,2,
1504,743,111,
1505,744,50,
1506,744,31,
1507,745,52,
1508,745,79,
1509,746,44,
1510,746,43,
1511,746,74,
1512,747,81,
1513,748,29,
1514,748,43,
1515,749,42,
1516,749,31,
1517,749,114,
1518,750,50,
1519,750,31,
1520,751,43,
1521,752,43,
1522,752,35,
1523,753,26,
1524,753,31,
1525,754,31,
1526,755,61,
1527,755,31,
1528,756,38,
1529,757,31,
1530,758,31,
1531,758,7,
1532,758,24,
1533,759,43,
1534,760,19,
1535,761,41,
1536,761,110,
1537,762,41,
1538,762,6,
1539,763,50,
1540,763,44,
1541,763,3,
1542,764,43,
1543,765,41,
1544,766,16,
1545,768,16,
1546,769,50,
1547,769,2,
1548,770,50,
1549,770,41,
1550,771,41,
1551,772,41,
1552,773,47,
1553,773,41,
1554,774,50,
1555,774,43,
1556,774,31,
1557,774,45,
1558,775,38,
1559,775,31,
1560,775,43,
1561,777,50,
1562,777,43,
1563,777,31,
1564,778,2,
1565,778,31,
1566,778,43,
1567,779,83,
1568,779,3,
1569,779,34,
1570,779,43,
1571,779,31,
1572,780,31,
1573,780,43,
1574,781,43,
1575,781,31,
1576,782,43,
1577,782,31,
1578,783,34,
1579,783,3,
1580,783,43,
1581,783,31,
1582,784,3,
1583,784,43,
1584,785,43,
1585,786,43,
1586,786,44,
1587,787,43,
1588,787,38,
1589,788,50,
1590,788,10,
1591,788,31,
1592,788,43,
1593,789,16,
1594,789,114,
1595,789,33,
1596,790,16,
1597,790,43,
1598,790,31,
1599,791,50,
1600,791,41,
1601,791,43,
1602,792,114,
1603,792,43,
1604,792,31,
1605,792,41,
1606,793,81,
1607,793,43,
1608,793,31,
1609,794,45,
1610,794,74,
1611,795,39,
1612,796,50,
1613,796,10,
1614,796,41,
1615,797,74,
1616,797,10,
1617,798,43,
1618,799,43,
1619,799,31,
1620,800,41,
1621,801,44,
1622,801,43,
1623,801,41,
1624,802,7,
1625,803,33,
1626,804,7,
1627,805,41,
1628,806,50,
1629,807,50,
1630,807,19,
1631,808,41,
1632,809,81,
1633,810,118,
1634,811,16,
1635,812,41,
1636,813,41,
1637,813,16,
1638,814,33,
1639,815,41,
1640,816,43,
1641,816,41,
1642,817,16,
1643,817,43,
1644,818,41,
1645,819,50,
1646,819,16,
1647,819,43,
1648,820,10,
1649,820,43,
1650,820,81,
1651,821,43,
1652,822,41,
1653,822,43,
1654,822,33,
1655,823,41,
1656,823,43,
1657,824,50,
1658,825,6,
1659,825,33,
1660,826,41,
1661,827,43,
1662,827,41,
1663,828,31,
1664,828,43,
1665,829,50,
1666,829,43,
1667,830,41,
1668,830,43,
1669,831,41,
1670,832,40,
1671,832,43,
1672,832,31,
1673,833,43,
1674,834,34,
1675,834,43,
1676,834,33,
1677,835,43,
1678,836,31,
1679,837,19,
1680,837,38,
1681,837,43,
1682,838,67,
1683,838,46,
1684,838,31,
1685,839,43,
1686,839,35,
1687,839,31,
1688,841,79,
1689,841,45,
1690,841,43,
1691,843,10,
1692,843,43,
1693,843,81,
1694,844,40,
1695,845,50,
1696,845,43,
1697,846,50,
1698,848,41,
1699,849,50,
1700,850,33,
1701,851,50,
1702,851,10,
1703,854,41,
1704,855,47,
1705,855,43,
1706,856,50,
1707,857,6,
1708,866,41,
1709,866,43,
1710,867,33,
1711,868,43,
1712,868,41,
1713,869,33,
1714,870,43,
1715,870,8,
1716,870,41,
1717,871,16,
1718,872,41,
1719,872,43,
1720,873,33,
1721,874,114,
1722,874,33,
1723,875,32,
1724,875,41,
1725,875,31,
1726,879,33,
1727,879,43,
1728,880,43,
1729,880,79,
1730,880,45,
1731,881,43,
1732,882,46,
1733,883,42,
1734,883,43,
1735,884,50,
1736,884,43,
1737,885,43,
1738,885,110,
1739,887,31,
1740,888,7,
1741,888,31,
1742,889,43,
1743,889,31,
1744,890,81,
1745,890,31,
1746,890,43,
1747,890,10,
1748,891,41,
1749,892,19,
1750,893,41,
1751,894,50,
1752,894,2,
1753,894,43,
1754,895,8,
1755,896,67,
1756,896,41,
1757,896,33,
1758,897,29,
1759,897,16,
1760,897,43,
1761,897,31,
1762,897,41,
1763,898,74,
1764,898,43,
1765,899,50,
1766,900,34,
1767,900,60,
1768,900,41,
1769,901,41,
1770,901,43,
1771,901,50,
1772,902,32,
1773,902,31,
1774,902,43,
1775,902,35,
1776,903,50,
1777,903,7,
1778,903,31,
1779,904,43,
1780,905,50,
1781,905,43,
1782,906,43,
1783,906,41,
1784,906,32,
1785,907,43,
1786,908,50,
1787,908,31,
1788,909,73,
1789,909,31,
1790,909,43,
1791,910,43,
1792,911,16,
1793,911,43,
1794,911,31,
1795,912,16,
1796,912,43,
1797,913,50,
1798,913,104,
1799,913,43,
1800,913,31,
1801,914,50,
1802,914,43,
1803,915,43,
1804,915,61,
1805,915,31,
1806,916,81,
1807,916,43,
1808,916,31,
1809,917,47,
1810,917,41,
1811,917,43,
1812,918,41,
1813,918,43,
1814,919,32,
1815,919,16,
1816,919,43,
1817,919,31,
1818,920,43,
1819,920,31,
1820,921,50,
1821,922,16,
1822,922,47,
1823,922,41,
1824,923,50,
1825,923,43,
1826,924,33,
1827,925,114,
1828,925,8,
1829,925,10,
1830,925,25,
