full_name,first_name,last_name,date_birth,gender,dead_or_alive,last_degree_of_studies,contest_id
Patricia Jimena Ortiz Couturier,Patricia Jimena,Ortiz Couturier,1987-09-09,2,True,4,336,
León Dionisio Motte Chávez,León Dionisio,Motte Chávez,0001-01-01,1,True,4,336,
Miriam Hernández Sánchez,Miriam,Hernández Sánchez,0001-01-01,2,True,-1,336,
Santiago Octavio Soltero Alvarado,Santiago Octavio,Soltero Alvarado,0001-01-01,1,True,-1,336,
Mauricio Tabe Echartea,Mauricio,Tabe Echartea,1979-11-09,1,True,4,337,
Roberto Carlos Reyes Gamiz,Roberto Carlos,Reyes Gamiz,1969-09-25,1,True,4,337,
Teresa Guadalupe Vale Castilla,Teresa Guadalupe,Vale Castilla,0001-01-01,2,True,-1,337,
Víctor Hugo Romo De Vivar Guerra,Víctor Hugo,Romo De Vivar Guerra,0001-01-01,1,True,6,337,
José Manuel Nava Castro,José Manuel,Nava Castro,0001-01-01,1,True,-1,337,
Chinthya Fernanda Acosta Sánchez,Chinthya Fernanda,Acosta Sánchez,0001-01-01,2,True,-1,337,
María Enriqueta Portillo Hidalgo y Costilla,María Enriqueta,Portillo Hidalgo y Costilla,0001-01-01,2,True,-1,337,
Eduardo Contró Rodríguez,Eduardo,Contró Rodríguez,0001-01-01,1,True,-1,337,
Jorge Alvarado Galicia,Jorge,Alvarado Galicia,1964-05-11,1,True,6,338,
Arturo Ferrer Retana,Arturo,Ferrer Retana,1993-07-19,1,True,4,338,
Efrén Ibañez Olvera,Efrén,Ibañez Olvera,0001-01-01,1,True,-1,338,
Karla Valeria Gómez Blancas,Karla Valeria,Gómez Blancas,0001-01-01,2,True,4,338,
Judith Vanegas Tapia,Judith,Vanegas Tapia,0001-01-01,2,True,4,338,
Andy Padilla Roldán,Andy,Padilla Roldán,0001-01-01,1,True,-1,338,
Abdul Ramos Ramos,Abdul,Ramos Ramos,0001-01-01,1,True,-1,338,
Noemi Galicia Meza,Noemi,Galicia Meza,0001-01-01,2,True,-1,338,
Luis Alberto Hernández Tovar,Luis Alberto,Hernández Tovar,0001-01-01,1,True,4,349,
Lesvia Gómez Melgar,Lesvia,Gómez Melgar,0001-01-01,2,True,2,349,
