other_name_type,name,person_id
2,Mane,1382,
2,Zarzosa,1389,
2,Krishna Romero,1391,
2,Alma Delia Sanchez,1392,
2,Gaby Olvera,1393,
2,Meli,1394,
2,Alan,1400,
2,Rafa,1403,
2,Tere Maru,1404,
2,Claudia Dominguez,1408,
2,Gela Huerta,1410,
2,Maru Muciño,1415,
2,Dr. Arturo,1416,
2,Profe Montalvo,1417,
2,Güera,1418,
2,Blanca Cortes,1424,
2,Fernando Anaya,1425,
2,Trino,1432,
2,Mela,1434,
2,Vane Lopez,1437,
2,La Brava,1439,
2,Circe Lopez,1443,
2,Dra. Belinda,1449,
2,Lulu,1450,
2,El Del Sombrero,1455,
2,Mtra. Chela
Andrade,1456,
2,Esbeide
Villanueva,1458,
2,Nahiely Ramirez,1459,
2,Sergio Freeman,1460,
2,Sergio Leal "El
Gato",1461,
2,Sergio Garcia,1462,
2,Ayary Contreras,1463,
2,Doramitzi
Gonzalez,1464,
2,Castor,1465,
2,Arcelia Mendoza,1466,
2,Adrian Ruiz "El
Chivero",1467,
2,Dr Pepe Rios,1468,
2,Davis,1472,
2,Carmelita Cortes,1475,
2,Carmen Pali,1479,
2,Bella,1486,
2,Lalo Orihuela,1493,
2,Macarena Chavez,1497,
2,Paco Huacus,1500,
2,Nadia Luz,1502,
2,Arqui Albarran,1503,
2,Sergio El Ganador,1504,
2,Amado,1505,
2,Nena,1509,
2,Eloina,1511,
2,Manuel Cota,1514,
2,Tita Marquez,1515,
2,Fugio Ortiz,1517,
2,Julieta Mejia,1519,
2,Vero Villela,1520,
2,Amaury Ponce,1521,
2,Checo,1522,
2,Polo,1525,
2,Lesly Prado,1529,
2,Jaime Elizondo,1530,
2,El Lobo Mayor,1542,
2,Adriana Diaz,1543,
2,Pili Tavira,1544,
2,Estefi Luna,1545,
2,Checo Nava,1552,
2,Thelma Cora,1553,
2,Sagaon,1556,
2,Dra Lilia,1557,
2,Rudy Martinez,1561,
2,Brujo,1563,
2,El abuelo,1566,
2,Advocatus,1567,
2,David Toache,1569,
2,Jose Treviño,1570,
2,El Doc,1571,
2,Mary Cuevas,1572,
2,Soffy Wood,1573,
2,Armando,1574,
2,Claudia Cervantes,1575,
2,Ismael,1576,
2,Linda Aurora,1577,
2,Poncho Villa,1578,
2,Topaz,1582,
2,Blanca Del Toro,1583,
2,Abel,1584,
2,Guille Alvarado,1586,
2,Yarely Vera,1590,
2,Tania Gomez,1591,
2,Paola Gonzalez,1592,
2,Annel,1595,
2,Jose Luis,1603,
2,Gaby Elizondo,1610,
2,Valeria Valdes,1613,
2,Cuquita Martinez,1618,
2,Laya,1623,
2,Andy,1624,
2,Joselin Sosa,1640,
2,Cheli,1641,
2,Gaby Matus,1642,
2,Karlita,1643,
2,Marco Carrasco,1645,
2,Carmelita Ricardez,1649,
2,El Andariego,1650,
2,Maestra Hita,1656,
2,Hector Montes Parra,1657,
2,Raquel Martinez,1660,
2,Dr. Román Díaz,1662,
2,Toño Amaro,1673,
2,Profr. Candido,1674,
2,Toño Hernandez Fraguas,1676,
2,Miriam Liborio,1677,
2,Pepe Estefan,1680,
2,La Vaquerita,1686,
2,Miguel Angel,1692,
2,Mago Tlapa,1693,
2,Maru,1694,
2,Celia Ortuño,1698,
2,Don Santos El Pollero,1701,
2,Rechy,1702,
2,Artista Chingon,1703,
2,Beto Herrera,1707,
2,Jess Jimenez,1725,
2,Bety Hernandez,1733,
2,Moni Roldan,1735,
2,Erika Luna,1737,
2,Linda Torres,1739,
2,Bety Terreros,1740,
2,Kyry,1742,
2,Diana Ortega,1743,
2,Armando,1747,
2,Ana Tere,1752,
2,El Tigre,1753,
2,Carolina Beauregard,1754,
2,Maestra Hersilia,1756,
2,Tony Natale,1759,
2,Nay Salvatori,1767,
2,Araceli,1771,
2,Cludia,1775,
2,Stuardo Llamas,1776,
2,Sonia Rocha,1781,
2,Rosy Olvera,1782,
2,Joss Bueno,1783,
2,Alexa Hernandez,1784,
2,Pepe,1785,
2,Tere Paredes,1790,
2,Danny Montalvo,1791,
2,Pepe Juan Chilon,1793,
2,Greg,1797,
2,Alondra Name,1802,
2,Humberto Obed,1804,
2,Juan Carrillo,1810,
